Set,Name,Price(>300.0<400.0),Image
swsh07-evolving-skies,Umbreon VMAX (Alternate Art Secret),$343.01,https://tcgplayer-cdn.tcgplayer.com/product/246723_25w.jpg
skyridge,Flareon (H7),$321.99,https://tcgplayer-cdn.tcgplayer.com/product/85490_25w.jpg
skyridge,Moltres (H20),$311.65,https://tcgplayer-cdn.tcgplayer.com/product/87556_25w.jpg
skyridge,Crobat (147),$349.98,https://tcgplayer-cdn.tcgplayer.com/product/84485_25w.jpg
skyridge,Gengar (H9),$379.99,https://tcgplayer-cdn.tcgplayer.com/product/85668_25w.jpg
skyridge,Golem,$326.47,https://tcgplayer-cdn.tcgplayer.com/product/85825_25w.jpg
skyridge,Vaporeon (H31),$395.09,https://tcgplayer-cdn.tcgplayer.com/product/90280_25w.jpg
gym-heroes,Sabrina's Gengar,$339.24,https://tcgplayer-cdn.tcgplayer.com/product/88874_25w.jpg
base-set,Charizard,$349.95,https://tcgplayer-cdn.tcgplayer.com/product/42382_25w.jpg
sm-burning-shadows,Charizard GX (Secret),$389.69,https://tcgplayer-cdn.tcgplayer.com/product/138497_25w.jpg
xy-promos,Champions Festival (2016 Top Thirty-Two),$389.53,https://tcgplayer-cdn.tcgplayer.com/product/199328_25w.jpg
base-set-shadowless,Clefairy,$345.00,https://tcgplayer-cdn.tcgplayer.com/product/107001_25w.jpg
base-set-shadowless,Pikachu (Red Cheeks),$379.49,https://tcgplayer-cdn.tcgplayer.com/product/147229_25w.jpg
base-set-shadowless,Alakazam,$389.86,https://tcgplayer-cdn.tcgplayer.com/product/106996_25w.jpg
base-set-shadowless,Venusaur,$349.99,https://tcgplayer-cdn.tcgplayer.com/product/107010_25w.jpg
legend-maker,Regice Star,$302.50,https://tcgplayer-cdn.tcgplayer.com/product/88658_25w.jpg
power-keepers,Flareon Star,$389.91,https://tcgplayer-cdn.tcgplayer.com/product/85503_25w.jpg
power-keepers,Vaporeon Star,$305.86,https://tcgplayer-cdn.tcgplayer.com/product/90292_25w.jpg
power-keepers,Jolteon Star,$313.87,https://tcgplayer-cdn.tcgplayer.com/product/86351_25w.jpg
team-rocket-returns,Rocket's Mewtwo ex,$311.33,https://tcgplayer-cdn.tcgplayer.com/product/88778_25w.jpg
team-rocket-returns,Rocket's Suicune ex,$399.99,https://tcgplayer-cdn.tcgplayer.com/product/88797_25w.jpg
team-rocket-returns,Torchic Star,$308.34,https://tcgplayer-cdn.tcgplayer.com/product/89965_25w.jpg
team-rocket-returns,Rocket's Snorlax ex,$310.49,https://tcgplayer-cdn.tcgplayer.com/product/88796_25w.jpg
wotc-promo,Lucky Stadium,$352.49,https://tcgplayer-cdn.tcgplayer.com/product/86894_25w.jpg
legendary-collection,Charizard,$399.99,https://tcgplayer-cdn.tcgplayer.com/product/84196_25w.jpg
aquapolis,Houndoom (H11),$308.87,https://tcgplayer-cdn.tcgplayer.com/product/86199_25w.jpg
aquapolis,Nidoking (150),$382.50,https://tcgplayer-cdn.tcgplayer.com/product/87695_25w.jpg
aquapolis,Tyranitar (H28),$342.94,https://tcgplayer-cdn.tcgplayer.com/product/90114_25w.jpg
dragon,Charizard,$376.15,https://tcgplayer-cdn.tcgplayer.com/product/84187_25w.jpg
hidden-fates-shiny-vault,Charizard GX,$391.69,https://tcgplayer-cdn.tcgplayer.com/product/197780_25w.jpg
